ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2017-05-21 00:00:00+00:00,35,1,9006,2381.75,2384.0,2381.0,2382.75,14044,ES.v.0
2017-05-22 00:00:00+00:00,35,1,9006,2382.75,2394.75,2378.25,2387.25,1119017,ES.v.0
2017-05-23 00:00:00+00:00,35,1,9006,2387.25,2399.5,2387.25,2396.75,994869,ES.v.0
2017-05-24 00:00:00+00:00,35,1,9006,2396.75,2404.25,2394.75,2403.25,972404,ES.v.0
2017-05-25 00:00:00+00:00,35,1,9006,2403.25,2417.75,2402.75,2413.0,1308165,ES.v.0
2017-05-26 00:00:00+00:00,35,1,9006,2413.0,2415.75,2408.0,2414.75,846629,ES.v.0
2017-05-28 00:00:00+00:00,35,1,9006,2414.0,2417.0,2413.75,2415.75,6154,ES.v.0
2017-05-29 00:00:00+00:00,35,1,9006,2415.5,2417.0,2413.75,2414.25,60728,ES.v.0
2017-05-30 00:00:00+00:00,35,1,9006,2414.25,2414.75,2407.75,2411.25,960917,ES.v.0
2017-05-31 00:00:00+00:00,35,1,9006,2411.25,2416.75,2402.75,2412.25,1711093,ES.v.0
2017-06-01 00:00:00+00:00,35,1,9006,2412.25,2431.5,2410.5,2430.0,1404567,ES.v.0
2017-06-02 00:00:00+00:00,35,1,9006,2430.0,2439.75,2427.0,2437.25,1679619,ES.v.0
2017-06-04 00:00:00+00:00,35,1,9006,2435.25,2437.0,2433.5,2434.5,9101,ES.v.0
2017-06-05 00:00:00+00:00,35,1,9006,2434.25,2439.0,2433.0,2435.0,837097,ES.v.0
2017-06-06 00:00:00+00:00,35,1,9006,2435.0,2435.75,2426.25,2430.75,1268944,ES.v.0
2017-06-07 00:00:00+00:00,35,1,9006,2430.5,2435.0,2424.0,2431.75,1240956,ES.v.0
2017-06-08 00:00:00+00:00,35,1,9006,2432.0,2439.0,2425.5,2427.75,1037104,ES.v.0
2017-06-09 00:00:00+00:00,35,1,9006,2427.75,2445.75,2414.75,2430.75,922987,ES.v.0
2017-06-11 00:00:00+00:00,35,1,24842,2428.0,2428.75,2424.0,2425.5,10085,ES.v.0
2017-06-12 00:00:00+00:00,35,1,24842,2425.75,2428.0,2416.75,2427.0,1339109,ES.v.0
2017-06-13 00:00:00+00:00,35,1,24842,2427.0,2439.25,2427.0,2438.0,1123381,ES.v.0
2017-06-14 00:00:00+00:00,35,1,24842,2437.75,2443.25,2425.75,2429.75,1384231,ES.v.0
2017-06-15 00:00:00+00:00,35,1,24842,2430.0,2433.25,2416.25,2431.75,1606336,ES.v.0
2017-06-16 00:00:00+00:00,35,1,24842,2431.75,2436.75,2420.25,2434.5,1285060,ES.v.0
2017-06-18 00:00:00+00:00,35,1,24842,2433.5,2434.75,2432.75,2433.5,10295,ES.v.0
2017-06-19 00:00:00+00:00,35,1,24842,2433.5,2451.5,2433.25,2448.75,1209931,ES.v.0
2017-06-20 00:00:00+00:00,35,1,24842,2449.0,2451.0,2434.0,2436.25,1320446,ES.v.0
2017-06-21 00:00:00+00:00,35,1,24842,2436.5,2440.0,2428.0,2430.25,1368173,ES.v.0
2017-06-22 00:00:00+00:00,35,1,24842,2430.25,2439.0,2428.0,2433.0,1039728,ES.v.0
2017-06-23 00:00:00+00:00,35,1,24842,2433.25,2438.75,2428.25,2432.0,1182340,ES.v.0
2017-06-25 00:00:00+00:00,35,1,24842,2432.0,2432.75,2430.0,2432.5,8322,ES.v.0
2017-06-26 00:00:00+00:00,35,1,24842,2432.5,2447.5,2431.75,2436.25,1254570,ES.v.0
2017-06-27 00:00:00+00:00,35,1,24842,2436.5,2437.25,2416.5,2417.75,1630129,ES.v.0
2017-06-28 00:00:00+00:00,35,1,24842,2417.75,2444.5,2413.75,2443.0,1543402,ES.v.0
2017-06-29 00:00:00+00:00,35,1,24842,2443.25,2445.0,2402.25,2420.0,2326065,ES.v.0
2017-06-30 00:00:00+00:00,35,1,24842,2420.0,2429.75,2415.0,2421.5,1601240,ES.v.0
2017-07-02 00:00:00+00:00,35,1,24842,2422.0,2427.25,2421.5,2424.5,9383,ES.v.0
2017-07-03 00:00:00+00:00,35,1,24842,2424.5,2436.5,2421.5,2427.25,747592,ES.v.0
2017-07-04 00:00:00+00:00,35,1,24842,2427.5,2431.25,2421.25,2424.0,139393,ES.v.0
2017-07-05 00:00:00+00:00,35,1,24842,2424.0,2432.25,2419.25,2429.75,1134117,ES.v.0
2017-07-06 00:00:00+00:00,35,1,24842,2429.5,2430.0,2405.25,2409.5,1592711,ES.v.0
2017-07-07 00:00:00+00:00,35,1,24842,2409.5,2425.0,2407.5,2423.25,1238527,ES.v.0
2017-07-09 00:00:00+00:00,35,1,24842,2423.0,2426.0,2422.75,2425.5,8390,ES.v.0
2017-07-10 00:00:00+00:00,35,1,24842,2425.25,2430.0,2419.25,2424.5,846756,ES.v.0
2017-07-11 00:00:00+00:00,35,1,24842,2424.25,2427.75,2410.25,2425.0,1127578,ES.v.0
2017-07-12 00:00:00+00:00,35,1,24842,2424.75,2443.75,2422.5,2441.75,1130087,ES.v.0
2017-07-13 00:00:00+00:00,35,1,24842,2441.5,2447.0,2439.0,2445.75,932038,ES.v.0
2017-07-14 00:00:00+00:00,35,1,24842,2445.75,2461.25,2442.0,2457.5,1070821,ES.v.0
2017-07-16 00:00:00+00:00,35,1,24842,2457.0,2459.0,2456.75,2457.5,5797,ES.v.0
2017-07-17 00:00:00+00:00,35,1,24842,2457.75,2460.5,2454.0,2458.5,844201,ES.v.0
2017-07-18 00:00:00+00:00,35,1,24842,2458.5,2461.0,2448.0,2458.5,1075970,ES.v.0
2017-07-19 00:00:00+00:00,35,1,24842,2458.5,2472.0,2458.25,2470.75,939951,ES.v.0
2017-07-20 00:00:00+00:00,35,1,24842,2470.5,2476.25,2465.5,2471.5,1093627,ES.v.0
2017-07-21 00:00:00+00:00,35,1,24842,2471.75,2475.25,2462.75,2470.0,1073492,ES.v.0
2017-07-23 00:00:00+00:00,35,1,24842,2469.75,2470.5,2468.25,2468.5,5517,ES.v.0
2017-07-24 00:00:00+00:00,35,1,24842,2468.5,2470.5,2463.5,2467.5,845220,ES.v.0
2017-07-25 00:00:00+00:00,35,1,24842,2467.75,2478.75,2466.75,2475.25,1065913,ES.v.0
2017-07-26 00:00:00+00:00,35,1,24842,2475.25,2479.75,2471.5,2476.75,950630,ES.v.0
2017-07-27 00:00:00+00:00,35,1,24842,2476.75,2480.5,2457.0,2468.5,1639441,ES.v.0
2017-07-28 00:00:00+00:00,35,1,24842,2468.5,2471.5,2461.5,2470.75,1128099,ES.v.0
2017-07-30 00:00:00+00:00,35,1,24842,2470.5,2471.25,2467.75,2468.0,9305,ES.v.0
2017-07-31 00:00:00+00:00,35,1,24842,2468.25,2475.0,2465.25,2467.75,1181823,ES.v.0
2017-08-01 00:00:00+00:00,35,1,24842,2467.75,2477.25,2467.5,2475.25,1037630,ES.v.0
